Author,Comment,Likes,Replies,Date
"@abhishekbhatt3195","Eti dherai paisa ani risk liyera arko desh ma jaanu bhanda aafnai desh maa kei garne risk linuna business garnus . Ani tyasmaa xai safal hune chance ek damai high xa arka ko desh ma marna jaanu wa deport huna jaanu bhanda .<br><br>Pls yasari illegally arko deshmaa jaanu bhanda afnai desh ma basnus baru noon snga roti khayera bhaye pani aafno family snga ta basnu sanknu hunexa",2,0,3/19/2023
"@dipendragurung3886","Muji haru Lai janu parya xata Europe ani america, estai hunu prxa ramro vayo.",1,0,3/18/2023
"@aashishsubedi-wf3fb","Ser aba k usa iligal  aru des ko manxe aaunu paudaenn r vedeo banaunn",1,0,3/11/2023
"@usler-5005","Llll9ll",0,0,2/22/2023
"@ambeedeoja2094","good job...keep it up",0,0,2/18/2023
"@subashthapa6470","You re doin nice job keep doing",0,0,2/17/2023
"@sanzokdhakal7494","A year ago I watched the documentary of Adam Yamaguchi . It just shook me. It is so terrifying",0,0,2/9/2023
"@randomuser835","@thenepalicomment please make a vedio about worst place in USA (Most developed country of world) compare to nepal. How their own country is negaleting their own people and working/ helping other countries as USAID and other INGOs etc. Why they are doing so ? please make it clear all about this !<a href=""https://www.youtube.com/watch?v=lf_IaLAXQCA"">https://youtu.be/lf_IaLAXQCA</a>",0,0,2/9/2023
"@josefgurungdenmark5625","Bhutanese refugee are all almost US citizen now.",0,0,2/7/2023
"@rakshasampangrai7006","Heart wrenching 😢",0,0,2/7/2023
"@nirojadhikari6146","Well done!!",0,0,2/6/2023
"@sujan_waiba_2977","✝️✝️❤️❤️🙏🙏🇳🇵🇳🇵",0,0,2/5/2023
"@DEATH_DEITY","Hamro Nepal ma yo vram cha ki, Nepal bahek aru desh(especially western countries)ma paisa khan-khani payincha! - Yo jhoot khabar, lack of good education le Nepali youth ko mind bigareerako cha: USA, UK, FRANCE, SPAIN, etc ma kasto SLUM, GARIBI, DISCRIMINATION, RACISM kasto daar lagdo cha vanne thaha chaina,.......aahile ko yug ma haat-haat ma mobile cha, Internet cha, afai research garnuhos, aru ko social media ma ramro photo daekera jealous vayera afno Swarga jasto desh chodera, afno matra navai, purai aaune naya NEPALI GENERATION KOI future lai harm nahos...JAI NEPAL! 🇳🇵",1,0,2/5/2023
"@yogensharma5721","Donkey process is foolishness......dont waste your money and life.....live in Nepal and develope Nepal ✌",0,0,2/5/2023
"@AJCHANNEL","Wow thanks of hidden info now we friends will try ....this hidden journey...n inform u when we will reach🙏🙏",0,0,2/4/2023
"@tophealth429","I wouldn&#39;t suggest anyone to travel illegally. Nepal might be economically poor but testo asylum seek garnu parne chai situation chaina la! Think about your own life, think about your families but tbh  most importantly, Nepal KO bejat chai nagara. I don&#39;t want to see Nepal in blacklist of other countries.😤♥️",0,0,2/3/2023
"@rajeshnepali2092","Brother u r great 🙏🙏🙏",0,0,2/1/2023
"@sumanshrestha3286","I am on the way brother",0,0,2/1/2023
"@sijandewan3843","Sunda daar lagdo, risky cha tarah afno better livelihood ko lagi yo risk easyily comepete garinxa jasto himmat aauxa ❤️",0,0,2/1/2023
"@learnspanishlanguage1","मन छोयो भाई तपाईको भिडीयोले",0,0,2/1/2023
"@Nirartzz","NRNA ko former president Kumar Panta ko story pani interesting cha… one of his relatives told me😅😂",0,0,1/31/2023
"@domapolchungsherpa4471","I don’t want to be bias but must say that some Nepalese are like a flock of sheep. If they see one person succeeding doing something then they follow same path without acknowledging the hurdles. So, similarly if they see or know one person that crossed border and reached to USA or some other country they follow the same route without a a second thought. I’m in New York and I know maybe 50-60 people who followed the same path and have entered USA and earning ok . But it doesn’t mean that it will be the same for everyone. I feel really terrified hearing people getting sick on the way, getting rapped and what not. I don’t know what else to say 😢😢",0,0,1/31/2023
"@yukeshloopify","USA ma ta guarantee nai hunxa jasto lagyo dukha pako suneko chaina kaile ni baru Portugal chai hola",0,0,1/29/2023
"@ravihamal5894","🙏🙏🙏",0,0,1/29/2023
"@iamawesomeVlogs007","Sabai yo desh ko politician le garda ho..etro dukha garera, aafno jyan ko baaji rakhera tyo garnu vhanda baru Nepal ma aafno desh ma aandolan garnu ra yo buda bhrasta neta lai hataau..kasari huncha voting ko bela farka..ya thulo aandolan aba garna jaruri cha.",0,0,1/28/2023
"@ajthapa3230","Grand salute bro u deserve huge appreciation",0,0,1/28/2023
"@suraJRai-si3bj","Yeti dukha kasta garnu vanda tw nepal mai dukha struggle garnuhos ra thorai dherai paisa kamaunu hos. J jati x afu snga tehimai khusi huna siknuhos jati sapana safalta hasil garey ni jhan jhan rahar ra chahana baddai janx lop ley lap lap ley bilap vaney jhai ..marera jada k nai lana payinx ra..😭",0,0,1/27/2023
"@aayushkhatri8542","Man i like your videos.",0,0,1/27/2023
"@abhibhattarai4374","Dhruv Rathee ko yad aayo<br>yestai new topic ma ajhai sunna paiyos daju",0,0,1/26/2023
"@gaming6284","Des bigraue vany ra yesari jadai Garda zhan des ko bary ma soch nay bedesi ko soch ra nepali passport valueless hudai ga xa 😢",0,0,1/26/2023
"@gaming6284","Des ko rajniti ramro xyna k garnu badhyata xa sun ko",0,0,1/26/2023
"@TezzRepair","Very well explained",0,0,1/24/2023
"@pramodkumaragri7476","Thank you so much❤️🙏",1,0,1/24/2023
"@prameshgiri6157","Bro I like your content man. Can we collaborate?",0,0,1/20/2023
"@santoshupreti4275","Now about A division league  club their  owner and  earnings 🤔❣️🎈",0,0,1/16/2023
"@anonymous8236","Missing our king",0,0,1/11/2023
"@Heruntoldstory_","संसार सबैको साझा घर रे तर त्यै अमेरिका जान पनि पासपोर्ट, भिसा चाइने रे कस्तो नियम के!!! 😐😐",0,0,1/4/2023
"@bytforlife","big fan✋",0,0,1/3/2023
"@mahabir566","Ramro jaankaari",0,0,1/2/2023
"@SIac-l","Adios guys I&#39;m off to us now 😔😔",0,0,1/1/2023
"@db2184","If you come into the US illegally you are a criminal and an enemy to the state. You are like a member of an enemy army infiltrating a country. You will be making the world a WORSE place.",0,0,12/15/2022
"@Tiger___Nepal","It is really sad to see this scenario of our people",0,0,12/14/2022
"@ritaadhikari2437","How the hell its illegal to go from one place to another? Our earth is not the personal property. Its the common home of every living creatures. So its right of every living creatures to go from one place to another.",0,0,12/11/2022
"@blancovfx9467","i was the 12,000th like! keep up the good work dipesh!❤",0,0,12/5/2022
